"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000346667 (pp) 9606.ENSP00000387694","false","pp","9606.ENSP00000346667 (pp) 9606.ENSP00000387694","0.044","0.0","0.0","0.071","0.0",,"0.0","0.887","0.883"
"pp","9606.ENSP00000346667 (pp) 9606.ENSP00000395983","false","pp","9606.ENSP00000346667 (pp) 9606.ENSP00000395983","0.0","0.0","0.0","0.071","0.0",,"0.0","0.862","0.857"
"pp","9606.ENSP00000346667 (pp) 9606.ENSP00000376432","false","pp","9606.ENSP00000346667 (pp) 9606.ENSP00000376432","0.042","0.0","0.0","0.101","0.0",,"0.0","0.853","0.843"
"pp","9606.ENSP00000357040 (pp) 9606.ENSP00000478721","false","pp","9606.ENSP00000357040 (pp) 9606.ENSP00000478721","0.047","0.0","0.8","0.0","0.0",,"0.0","0.925","0.638"
"pp","9606.ENSP00000357040 (pp) 9606.ENSP00000418754","false","pp","9606.ENSP00000357040 (pp) 9606.ENSP00000418754","0.084","0.0","0.0","0.0","0.0",,"0.0","0.891","0.886"
"pp","9606.ENSP00000357040 (pp) 9606.ENSP00000364860","false","pp","9606.ENSP00000357040 (pp) 9606.ENSP00000364860","0.067","0.0","0.8","0.0","0.0",,"0.0","0.89","0.458"
"pp","9606.ENSP00000345436 (pp) 9606.ENSP00000385142","false","pp","9606.ENSP00000345436 (pp) 9606.ENSP00000385142","0.148","0.0","0.0","0.047","0.0",,"0.0","0.924","0.914"
"pp","9606.ENSP00000369314 (pp) 9606.ENSP00000373477","false","pp","9606.ENSP00000369314 (pp) 9606.ENSP00000373477","0.128","0.0","0.0","0.07","0.0",,"0.068","0.868","0.846"
"pp","9606.ENSP00000369314 (pp) 9606.ENSP00000423822","false","pp","9606.ENSP00000369314 (pp) 9606.ENSP00000423822","0.123","0.0","0.0","0.071","0.0",,"0.068","0.863","0.84"
"pp","9606.ENSP00000344819 (pp) 9606.ENSP00000402855","false","pp","9606.ENSP00000344819 (pp) 9606.ENSP00000402855","0.746","0.0","0.0","0.0","0.0",,"0.0","0.798","0.24"
"pp","9606.ENSP00000344758 (pp) 9606.ENSP00000424417","false","pp","9606.ENSP00000344758 (pp) 9606.ENSP00000424417","0.0","0.0","0.0","0.222","0.0",,"0.0","0.728","0.665"
"pp","9606.ENSP00000344458 (pp) 9606.ENSP00000483552","false","pp","9606.ENSP00000344458 (pp) 9606.ENSP00000483552","0.061","0.0","0.75","0.0","0.0",,"0.0","0.765","0.08"
"pp","9606.ENSP00000402855 (pp) 9606.ENSP00000462309","false","pp","9606.ENSP00000402855 (pp) 9606.ENSP00000462309","0.241","0.205","0.4","0.0","0.0",,"0.0","0.701","0.274"
"pp","9606.ENSP00000342570 (pp) 9606.ENSP00000402855","false","pp","9606.ENSP00000342570 (pp) 9606.ENSP00000402855","0.121","0.0","0.4","0.0","0.0",,"0.0","0.717","0.507"
