input	symbol	entrez_id	name	status
GSTM1	GSTM1	2944	glutathione S-transferase mu 1	ok
KCNQ3	KCNQ3	3786	potassium voltage-gated channel subfamily Q member 3	ok
THY1	THY1	7070	Thy-1 cell surface antigen	ok
ABCC6	ABCC6	368	ATP binding cassette subfamily C member 6	ok
FASTKD3	FASTKD3	79072	FAST kinase domains 3	ok
ACY3	ACY3	91703	aminoacylase 3	ok
ASPA	ASPA	443	aspartoacylase	ok
GRM1	GRM1	2911	glutamate metabotropic receptor 1	ok
KCNH6	KCNH6	81033	potassium voltage-gated channel subfamily H member 6	ok
VSIG4	VSIG4	11326	V-set and immunoglobulin domain containing 4	ok
GRM6	GRM6	2916	glutamate metabotropic receptor 6	ok
ADNP	ADNP	23394	activity dependent neuroprotector homeobox	ok
ANO6	ANO6	196527	anoctamin 6	ok
LNPEP	LNPEP	4012	leucyl and cystinyl aminopeptidase	ok
ACY1	ACY1	95	aminoacylase 1	ok
GGT1	GGT1	2678	gamma-glutamyltransferase 1	ok
PLK1	PLK1	5347	polo like kinase 1	ok
DDR1	DDR1	780	discoidin domain receptor tyrosine kinase 1	ok
KCNA6	KCNA6	3742	potassium voltage-gated channel subfamily A member 6	ok
CACNA2D2	CACNA2D2	9254	calcium voltage-gated channel auxiliary subunit alpha2delta 2	ok
COQ6	COQ6	51004	coenzyme Q6, monooxygenase	ok
BMPR1B	BMPR1B	658	bone morphogenetic protein receptor type 1B	ok
CLCNKB	CLCNKB	1188	chloride voltage-gated channel Kb	ok
ABCB5	ABCB5	340273	ATP binding cassette subfamily B member 5	ok
CA13	CA13	377677	carbonic anhydrase 13	ok
CACNA2D1	CACNA2D1	781	calcium voltage-gated channel auxiliary subunit alpha2delta 1	ok
RPS6KB1	RPS6KB1	6198	ribosomal protein S6 kinase B1	ok
KCNH3	KCNH3	23416	potassium voltage-gated channel subfamily H member 3	ok
ALOX15B	ALOX15B	247	arachidonate 15-lipoxygenase type B	ok
HDDC3	HDDC3	374659	HD domain containing 3	ok
PLA2G6	PLA2G6	8398	phospholipase A2 group VI	ok
RIOK1	RIOK1	83732	RIO kinase 1	ok
PPP6R3	PPP6R3	55291	protein phosphatase 6 regulatory subunit 3	ok
MATN2	MATN2	4147	matrilin 2	ok
NGFR	NGFR	4804	nerve growth factor receptor	ok
SH3GLB2	SH3GLB2	56904	SH3 domain containing GRB2 like, endophilin B2	ok
STYK1	STYK1	55359	serine/threonine/tyrosine kinase 1	ok
CYP2R1	CYP2R1	120227	cytochrome P450 family 2 subfamily R member 1	ok
IRAK3	IRAK3	11213	interleukin 1 receptor associated kinase 3	ok
MATN3	MATN3	4148	matrilin 3	ok
PTPRG	PTPRG	5793	protein tyrosine phosphatase receptor type G	ok
SPAG7	SPAG7	9552	sperm associated antigen 7	ok
BMP2K	BMP2K	55589	BMP2 inducible kinase	ok
NFYC	NFYC	4802	nuclear transcription factor Y subunit gamma	ok
EPS8	EPS8	2059	EGFR pathway substrate 8, signaling adaptor	ok
CA5A	CA5A	763	carbonic anhydrase 5A	ok
BTK	BTK	695	Bruton tyrosine kinase	ok
PRDX3	PRDX3	10935	peroxiredoxin 3	ok
VWA1	VWA1	64856	von Willebrand factor A domain containing 1	ok
GIPC1	GIPC1	10755	GIPC PDZ domain containing family member 1	ok
CPNE1	CPNE1	8904	copine 1	ok
TRAPPC8	TRAPPC8	22878	trafficking protein particle complex subunit 8	ok
CPNE9	CPNE9	151835	copine family member 9	ok
PTGIS	PTGIS	5740	prostaglandin I2 synthase	ok
TMPRSS3	TMPRSS4	56649	transmembrane serine protease 4	ok
TMPRSS3	TMPRSS3	64699	transmembrane serine protease 3	ok
CA10	CA10	56934	carbonic anhydrase 10 (inactive)	ok
TRAPPC11	TRAPPC11	60684	trafficking protein particle complex subunit 11	ok
HAVCR1	HAVCR1	26762	hepatitis A virus cellular receptor 1	ok
CLSTN2	CLSTN2	64084	calsyntenin 2	ok
TNK2	TNK2	10188	tyrosine kinase non receptor 2	ok
GUCY2C	GUCY2C	2984	guanylate cyclase 2C	ok
CA5B	CA5B	11238	carbonic anhydrase 5B	ok
RGS3	RGS3	5998	regulator of G protein signaling 3	ok
