compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00754,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,0,LINDANE,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,2087,non-addictive_only,290.832,0.0,0,0,0,3.644400000000001,1,0,5,1,1
NEW00753,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0,INDOPROFEN,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,RJMIEHBSYVWVIN-UHFFFAOYSA-N,2088,non-addictive_only,281.311,57.61,1,2,3,3.0351000000000017,3,2,5,1,1
NEW00752,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0,NITROFURANTOIN,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,NXFQHRVNIOXGAQ-YCRREMRBSA-N,2089,non-addictive_only,238.15899999999996,118.05000000000001,1,6,3,0.07349999999999995,2,1,4,1,0
NEW00750,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0,TRIFLUPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,XSCGXQMFQXDFCW-UHFFFAOYSA-N,2090,non-addictive_only,352.42500000000007,6.48,0,3,4,5.259800000000004,3,2,4,1,0
NEW00749,CCN(CC)CCOC(=O)c1ccc(N)cc1,0,PROCAINE,CCN(CC)CCOC(=O)c1ccc(N)cc1,MFDFERRIHVXMIY-UHFFFAOYSA-N,2091,non-addictive_only,236.315,55.56,1,4,6,1.7673999999999999,1,1,5,1,1
NEW00748,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,0,INDALPINE,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,SADQVAVFGNTEOD-UHFFFAOYSA-N,2092,non-addictive_only,228.339,27.82,2,1,3,3.100100000000001,3,2,5,1,1
NEW00747,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,0,CHLOROPHENOTHANE,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,YVGGHNCTFXOJCH-UHFFFAOYSA-N,2093,non-addictive_only,354.491,0.0,0,0,2,6.495500000000002,2,2,4,1,0
NEW00746,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,0,FENCLOFENAC,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,IDKAXRLETRCXKS-UHFFFAOYSA-N,2094,non-addictive_only,297.13699999999994,46.53,1,2,4,4.4128000000000025,2,2,5,1,1
NEW00745,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,0,SULINDAC,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,MLKXDPUZXIRXEP-MFOYZWKCSA-N,2095,non-addictive_only,356.41800000000006,60.36,1,2,4,4.365500000000003,3,2,5,1,1
NEW00742,CCOc1ccc(NC(C)=O)cc1,0,PHENACETIN,CCOc1ccc(NC(C)=O)cc1,CPJSUEIXXCENMM-UHFFFAOYSA-N,2096,non-addictive_only,179.219,38.33,1,2,3,2.0437,1,1,5,1,1
NEW00740,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0,FENBUFEN,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,ZPAKPRAICRBAOD-UHFFFAOYSA-N,2098,non-addictive_only,254.28500000000003,54.37,1,2,5,3.4011000000000022,2,2,5,1,1
NEW00739,CC(=O)Nc1ccc(O)cc1,0,ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,2099,non-addictive_only,151.165,49.33,2,2,1,1.3505999999999998,1,1,5,1,1
NEW00738,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0,CLOFIBRATE,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,KNHUKKLJHYUCFP-UHFFFAOYSA-N,2100,non-addictive_only,242.702,35.53,0,3,4,3.060500000000001,1,1,5,1,1
NEW00737,CN(C)CCCN1c2ccccc2Sc2ccccc21,0,PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21,ZGUGWUXLJSTTMA-UHFFFAOYSA-N,2101,non-addictive_only,284.42800000000005,6.48,0,3,4,4.241000000000003,3,2,5,1,1
NEW00735,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0,GRISEOFULVIN,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,DDUHZTYCFQRHIY-RBHXEPJQSA-N,2102,non-addictive_only,352.7700000000001,71.06,0,6,3,2.8103000000000007,3,1,5,1,1
