source,target,weight,interaction,addiction_status,compound_name
HOMER1,TRPC1,0.88,PPI,NA,NA
HOMER1,GPHN,0.733,PPI,NA,NA
HOMER1,NRXN1,0.706,PPI,NA,NA
OXTR,CACNA1S,0.782,PPI,NA,NA
TMED7-TICAM2,MYD88,0.795,PPI,NA,NA
FARSA,LRRC47,0.969,PPI,NA,NA
FARSB,FARSA,0.999,PPI,NA,NA
FARSB,IARS2,0.805,PPI,NA,NA
PPRC1,PLRG1,0.825,PPI,NA,NA
PPRC1,TFB2M,0.76,PPI,NA,NA
PPRC1,TFB1M,0.722,PPI,NA,NA
SH2B3,JAK2,0.988,PPI,NA,NA
SH2B3,NTRK3,0.927,PPI,NA,NA
SH2B3,NTRK1,0.916,PPI,NA,NA
SH2B3,THPO,0.79,PPI,NA,NA
NTSR2,NTSR1,0.949,PPI,NA,NA
PCTP,SLC38A5,0.837,PPI,NA,NA
MFHAS1,PPP1R3B,0.929,PPI,NA,NA
RIPPLY1,TLE4,0.798,PPI,NA,NA
RIPPLY1,TLE3,0.745,PPI,NA,NA
SH3KBP1,PIK3R1,0.857,PPI,NA,NA
SH3KBP1,ARHGAP27,0.769,PPI,NA,NA
SH3KBP1,BCAR1,0.745,PPI,NA,NA
SH3KBP1,BTK,0.731,PPI,NA,NA
SH3KBP1,LYN,0.702,PPI,NA,NA
SH3GL2,SH3KBP1,0.938,PPI,NA,NA
SH3GL2,SNX9,0.869,PPI,NA,NA
SH3GL2,ARHGAP8,0.8,PPI,NA,NA
TNK2,NCK1,0.863,PPI,NA,NA
TNK2,SNX9,0.769,PPI,NA,NA
TNK2,AKT1,0.745,PPI,NA,NA
TNK2,BCAR1,0.724,PPI,NA,NA
TNK2,MCF2,0.707,PPI,NA,NA
ESRRB,PCSK6,0.7,PPI,NA,NA
PTK2B,BCAR1,0.998,PPI,NA,NA
PTK2B,LYN,0.99,PPI,NA,NA
PTK2B,JAK3,0.942,PPI,NA,NA
SH2B1,JAK2,0.992,PPI,NA,NA
SH2B1,NTRK1,0.99,PPI,NA,NA
SH2B1,SH2B3,0.916,PPI,NA,NA
SH2B1,NTRK3,0.906,PPI,NA,NA
STAP2,MYD88,0.751,PPI,NA,NA
ITSN2,EPHB2,0.811,PPI,NA,NA
SLC18B1,SLC16A1,0.833,PPI,NA,NA
CARD11,CARD14,0.92,PPI,NA,NA
CARD11,BTK,0.798,PPI,NA,NA
CARD11,AKT1,0.718,PPI,NA,NA
PKN3,PDPK1,0.922,PPI,NA,NA
PKN3,PKN1,0.911,PPI,NA,NA
PKN3,PKN2,0.906,PPI,NA,NA
ARHGAP26,PKN3,0.937,PPI,NA,NA
FZD6,RYK,0.959,PPI,NA,NA
FZD6,ROR2,0.792,PPI,NA,NA
FZD6,PTK7,0.756,PPI,NA,NA
MYH15,MYL12B,0.795,PPI,NA,NA
MYH15,MYL12A,0.773,PPI,NA,NA
MYH15,MYL9,0.76,PPI,NA,NA
MYH15,MYL6,0.734,PPI,NA,NA
MYH15,MYL3,0.724,PPI,NA,NA
HES6,MSC,0.817,PPI,NA,NA
ACKR3,EGFR,0.768,PPI,NA,NA
HOXB2,PBX1,0.854,PPI,NA,NA
HOXB2,HOXB1,0.75,PPI,NA,NA
HOXB1,PBX1,0.999,PPI,NA,NA
HOXB1,HOXA1,0.934,PPI,NA,NA
PBX3,HOXC9,0.766,PPI,NA,NA
PBX3,TSHZ1,0.714,PPI,NA,NA
CTSK,BCL2L1,0.917,PPI,NA,NA
CTSK,CTSL,0.908,PPI,NA,NA
CTSK,CALCR,0.822,PPI,NA,NA
CTSK,TLR4,0.82,PPI,NA,NA
CTSK,CA2,0.791,PPI,NA,NA
SMC4,CDK1,0.906,PPI,NA,NA
SMC4,TOP2A,0.903,PPI,NA,NA
SMC4,POU3F3,0.811,PPI,NA,NA
