source,target,weight,interaction,addiction_status,compound_name
ACSL4,GPX4,0.834,PPI,,
MGLL,NAPEPLD,0.92,PPI,,
MGLL,ACSL4,0.868,PPI,,
MGLL,GPR55,0.776,PPI,,
MGLL,TRPV1,0.728,PPI,,
WDR31,RPS19,0.972,PPI,,
WDR31,RPL17,0.855,PPI,,
VEZT,RPL17,0.714,PPI,,
SUMF1,ARSI,0.759,PPI,,
ARSB,SUMF1,0.947,PPI,,
F13A1,APLNR,0.784,PPI,,
HNF4A,MTTP,0.775,PPI,,
HNF4A,CYP8B1,0.764,PPI,,
NR5A2,NCOA2,0.964,PPI,,
NR5A2,FABP6,0.733,PPI,,
ESRRG,ESRRB,0.748,PPI,,
TFB1M,MRPS16,0.93,PPI,,
TFB1M,SSBP1,0.74,PPI,,
SLC22A9,SLCO2B1,0.711,PPI,,
SLC2A9,SLC22A9,0.738,PPI,,
SETD7,DPY30,0.836,PPI,,
SETD7,E2F1,0.753,PPI,,
SETD7,WDR5,0.735,PPI,,
HNMT,MAOA,0.948,PPI,,
HNMT,MAOB,0.947,PPI,,
HNMT,WDR5,0.818,PPI,,
MXD1,AKT1,0.744,PPI,,
GPHN,SLC6A5,0.85,PPI,,
GPHN,ATP6V0B,0.719,PPI,,
GLRB,GPHN,0.997,PPI,,
PLCL1,GABRG3,0.905,PPI,,
PLCL1,GABRP,0.901,PPI,,
PLCL1,GABRQ,0.9,PPI,,
MTRF1L,GFM2,0.852,PPI,,
MTRF1L,MRPS16,0.753,PPI,,
FASTKD3,IARS2,0.762,PPI,,
FASTKD3,FASTKD2,0.726,PPI,,
IL1RL2,MYD88,0.726,PPI,,
TXNDC9,INSR,0.956,PPI,,
SRD5A1,CYP19A1,0.972,PPI,,
SRD5A1,UGT2B17,0.775,PPI,,
SRD5A1,STAR,0.745,PPI,,
SRD5A1,UGT1A7,0.726,PPI,,
SRD5A1,UGT1A1,0.72,PPI,,
CYP11B1,CYP19A1,0.949,PPI,,
CYP11B1,NR5A1,0.805,PPI,,
CYP11B1,KCNJ5,0.728,PPI,,
EPHA4,ABL1,0.945,PPI,,
EPHA4,EPHB2,0.915,PPI,,
EPHA4,THY1,0.897,PPI,,
EPHA4,FGFR1,0.847,PPI,,
EPHA4,EPHA3,0.835,PPI,,
EPHA4,EPHA2,0.808,PPI,,
EPHA4,EPHA5,0.759,PPI,,
EPHA4,EPHA7,0.726,PPI,,
EPHB2,SDCBP,0.742,PPI,,
EPHB2,EPHA5,0.704,PPI,,
EPHA2,ABL1,0.951,PPI,,
EPHA2,EPHA6,0.852,PPI,,
EPHA2,EPHB2,0.851,PPI,,
EPHA2,EPHA7,0.823,PPI,,
EPHA2,ARHGEF16,0.793,PPI,,
EPHA2,LYN,0.775,PPI,,
EPHA2,VEGFC,0.755,PPI,,
EPHA2,PIK3R1,0.733,PPI,,
EPHA2,NGF,0.714,PPI,,
EPHA2,EPHA5,0.713,PPI,,
EPHA2,BDNF,0.708,PPI,,
EPHA3,ABL1,0.958,PPI,,
EPHA3,EPHA7,0.924,PPI,,
EPHA3,EPHA5,0.884,PPI,,
EPHA3,EPHB2,0.772,PPI,,
EPHA3,EPHB4,0.706,PPI,,
EPHA7,ABL1,0.933,PPI,,
EPHA7,EPHA10,0.857,PPI,,
EPHB3,ABL1,0.943,PPI,,
EPHB3,FYN,0.791,PPI,,
EPHB3,EPHA2,0.71,PPI,,
TAF9,TAF6,0.999,PPI,,
TAF9,GTF2A2,0.995,PPI,,
TAF9,GTF2A1,0.99,PPI,,
TAF9,GTF2H3,0.98,PPI,,
TAF9,TAF4B,0.959,PPI,,
TAF9,POLE4,0.768,PPI,,
TAF6,GTF2A1,0.989,PPI,,
TAF6,GTF2H3,0.983,PPI,,
TAF6,TAF4B,0.976,PPI,,
TAF6,POLE4,0.729,PPI,,
TAF6L,TAF9,0.999,PPI,,
TAF6L,TAF9B,0.998,PPI,,
TAF6L,TAF6,0.934,PPI,,
TAF6L,TAF4B,0.871,PPI,,
TAF6L,WDR5,0.751,PPI,,
TAF6L,MAP3K7,0.736,PPI,,
TAF6L,POLE3,0.729,PPI,,
TAF6L,POLE4,0.72,PPI,,
TAF9B,TAF6,0.999,PPI,,
TAF9B,TAF4B,0.959,PPI,,
TAF9B,TAF9,0.951,PPI,,
TAF9B,GTF2A2,0.94,PPI,,
TAF9B,GTF2H3,0.903,PPI,,
TAF9B,GTF2A1,0.903,PPI,,
TAF9B,MAP3K7,0.744,PPI,,
TAF9B,WDR5,0.734,PPI,,
TAF9B,POLE4,0.732,PPI,,
TAF9B,POLE3,0.722,PPI,,
GTF2A1,TAF4B,0.847,PPI,,
GTF2A2,GTF2A1,0.999,PPI,,
GTF2A2,GTF2A1L,0.998,PPI,,
GTF2A2,GTF2H3,0.994,PPI,,
GTF2A2,TAF6,0.985,PPI,,
GTF2A2,TAF4B,0.766,PPI,,
MED25,CDK8,0.975,PPI,,
MED25,TAF9,0.862,PPI,,
MED25,GTF2A1,0.844,PPI,,
MED25,GTF2H3,0.815,PPI,,
MED25,TAF6,0.813,PPI,,
MED25,GTF2A2,0.812,PPI,,
NFYC,POLE3,0.929,PPI,,
TAF12,TAF9,0.999,PPI,,
TAF12,TAF6,0.999,PPI,,
TAF12,TAF6L,0.999,PPI,,
TAF12,TAF9B,0.999,PPI,,
TAF12,TAF4B,0.991,PPI,,
TAF12,GTF2A1,0.977,PPI,,
TAF12,GTF2A2,0.966,PPI,,
TAF12,GTF2H3,0.948,PPI,,
TAF12,MED25,0.822,PPI,,
TAF12,WDR5,0.747,PPI,,
TAF12,MAP3K7,0.733,PPI,,
